This file was created by CMPT_ME_BEME_RETS using the 201402 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195209   0.49  -0.93  -2.05  -1.79  -1.89  -2.51
195210  -1.03  -1.34  -2.03  -0.84   0.27  -0.50
195211   5.46   5.60   6.15   6.26   5.31   7.62
195212   2.06   1.80   1.82   3.18   2.91   3.81
195301   3.62   3.72   3.71  -0.87  -0.25   1.60
195302   1.41   2.17   1.87  -0.25  -0.08  -0.85
195303  -1.66  -1.59  -2.03  -1.02  -1.37  -2.74
195304  -2.94  -2.31  -1.07  -3.10  -2.27  -1.94
195305   0.71   0.93   0.63   0.94   0.18   1.33
195306  -2.94  -3.49  -3.78  -1.73  -1.25  -1.92
195307   0.92   1.65   1.36   2.96   2.14   1.81
195308  -3.20  -5.41  -6.20  -4.00  -3.80  -8.26
195309   0.23  -0.82  -2.35   0.81   0.35  -1.79
195310   2.78   3.81   3.26   5.05   4.36   4.65
195311   1.55   2.23   1.15   3.34   2.29   3.00
195312   0.24  -1.35  -2.64   0.54   0.40  -2.47
195401   4.90   6.52   8.25   4.50   5.74   8.07
195402   1.03   1.58   1.40   1.60   2.25   0.74
195403   2.78   3.20   2.05   4.21   3.51   1.84
195404  -0.28   2.33   0.14   5.25   3.55   3.78
195405   3.95   4.22   5.15   2.90   2.54   6.76
195406   0.50   1.88   1.32   1.81  -0.27   0.98
195407   5.41   6.93   9.11   4.25   5.20   9.08
195408  -0.16   0.26  -1.00  -3.00  -0.94  -5.07
195409   2.94   4.67   4.66   6.92   6.49   6.55
195410   0.48  -0.93  -0.75  -2.30  -1.00   0.37
195411   7.38   9.24   9.25   9.60   8.15  15.84
195412   7.52   9.44  11.46   4.28   5.88  11.72
195501   1.43   1.22   2.43   0.03   0.83   3.62
195502   3.79   5.53   4.58   3.09   2.72   3.42
195503  -0.59  -0.29   0.68  -0.32  -0.23   2.32
195504   1.22   1.27   2.52   4.12   1.99   4.40
195505   0.55   0.54   0.42   1.87   0.24   0.16
195506   1.78   3.53   3.41   6.51   7.54   8.83
195507  -1.52   0.99   1.39   2.05   2.35   0.40
195508  -0.09   0.62   0.25   0.61  -0.11   1.45
195509  -0.67  -0.55  -0.30   0.20  -0.36  -2.30
