This file was created by CMPT_ME_BEME_RETS using the 201402 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
194107     53    133    168    163    155     48
194108     53    133    168    163    155     48
194109     53    133    168    163    155     48
194110     53    133    168    163    155     48
194111     52    133    168    163    155     48
194112     52    133    168    163    155     48
194201     52    133    168    163    155     48
194202     52    133    168    163    155     48
194203     52    133    168    163    155     48
194204     52    133    168    163    155     48
194205     52    133    168    163    155     48
194206     52    133    168    163    155     48
194207     48    135    170    170    154     47
194208     48    135    170    170    154     47
194209     48    135    170    170    154     47
194210     48    134    170    170    154     47
194211     48    134    170    170    154     47
194212     48    134    169    170    154     47
194301     48    134    169    170    154     47
194302     48    134    169    170    153     47
194303     48    134    169    170    153     47
194304     48    134    169    169    153     47
194305     48    134    169    169    153     47
194306     48    134    169    169    153     47
194307     62    142    160    156    147     58
194308     62    142    160    156    147     58
194309     62    142    160    156    147     58
194310     62    142    159    156    147     58
194311     61    142    159    156    147     58
194312     61    142    158    156    147     58
194401     59    142    158    155    147     58
194402     59    142    157    155    147     58
194403     59    142    157    155    147     58
194404     59    142    157    155    147     58
194405     59    142    156    155    147     58
194406     59    142    156    155    147     58
194407     62    159    143    157    133     75
194408     62    159    143    157    133     75
194409     62    159    142    157    133     75
194410     62    159    142    157    133     75
194411     62    159    142    157    133     75
194412     62    159    142    157    133     75
194501     61    159    142    157    133     75
194502     61    159    142    157    133     75
194503     61    159    142    157    133     75
194504     61    159    142    157    133     75
194505     61    159    142    157    133     75
194506     61    159    142    157    133     75
194507     83    157    140    146    148     89
194508     83    157    140    146    148     89
194509     83    157    140    146    148     89
194510     83    157    140    146    148     89
194511     83    157    138    146    148     89
194512     83    157    138    146    148     89
194601     83    157    138    145    148     89
194602     83    156    138    145    148     89
194603     83    156    138    145    148     89
194604     83    156    138    145    148     89
194605     83    156    138    145    148     89
194606     83    155    138    145    148     89
194607     92    161    137    139    147     94
194608     92    160    137    139    147     94
194609     92    160    137    139    147     94
194610     92    159    137    139    147     94
194611     92    159    137    139    147     94
194612     92    159    137    139    147     94
194701     92    159    137    139    147     94
194702     92    159    137    139    147     94
194703     92    159    137    139    147     94
194704     92    159    137    139    147     94
194705     92    159    137    139    147     94
194706     92    159    136    139    147     94
194707     88    175    157    162    158     93
194708     88    175    157    162    158     93
194709     88    175    157    162    158     93
194710     88    174    157    162    158     93
194711     88    174    157    162    158     93
194712     88    174    157    162    158     93
194801     88    174    157    162    158     93
194802     88    174    157    162    158     93
194803     88    174    157    162    158     93
194804     88    174    157    162    158     93
194805     88    174    157    162    158     93
194806     88    174    157    162    158     93
194807     91    183    161    172    167    102
194808     91    183    161    172    167    102
194809     91    183    161    171    167    102
194810     91    183    161    171    167    102
194811     91    183    161    171    167    102
194812     91    183    161    171    167    102
194901     91    183    161    171    167    102
194902     91    183    161    171    167    102
194903     91    183    161    171    167    102
194904     91    183    161    171    167    102
194905     91    183    161    171    167    102
194906     91    183    161    171    167    102
194907     75    179    197    196    181     74
194908     75    179    197    196    181     74
194909     75    179    197    196    181     74
194910     75    179    197    196    181     74
194911     75    179    197    196    181     74
194912     75    179    197    196    181     73
195001     75    178    197    196    180     73
195002     75    178    197    196    180     73
195003     75    178    197    196    180     73
195004     75    178    197    196    180     73
195005     75    178    197    196    180     73
195006     75    178    197    195    180     73
195007     70    191    197    205    175     77
195008     70    191    197    205    175     77
195009     70    191    197    205    175     77
195010     70    191    197    205    175     77
195011     70    191    197    205    175     77
195012     70    190    196    205    175     77
195101     69    190    196    205    175     77
195102     69    190    196    205    175     77
195103     69    190    196    205    175     77
195104     69    190    196    205    175     77
195105     69    190    196    205    175     77
195106     69    190    196    205    175     77
195107     77    195    202    209    186     84
195108     77    195    202    209    186     83
195109     76    195    202    209    186     83
195110     76    195    202    209    186     83
195111     76    194    202    209    185     83
195112     76    194    202    209    185     83
195201     76    194    202    209    185     83
195202     76    194    202    209    185     83
195203     76    194    201    209    185     83
195204     76    193    201    209    185     83
195205     76    193    201    209    185     83
195206     76    193    201    209    185     83
195207     70    202    203    218    183     85
195208     70    202    203    218    183     85
195209     70    202    203    218    183     85
195210     70    202    203    218    183     85
195211     70    202    203    218    183     85
195212     70    202    203    218    183     85
195301     70    202    203    218    183     85
195302     70    201    202    218    183     85
195303     70    201    202    218    183     85
195304     70    201    202    218    183     85
195305     70    200    201    218    183     85
195306     70    200    201    218    183     85
195307     59    200    216    232    191     77
195308     59    200    215    232    191     77
195309     59    200    214    232    191     77
195310     59    200    214    231    191     77
195311     59    199    214    231    191     77
195312     59    199    214    231    191     77
195401     59    199    214    231    191     77
195402     59    199    214    231    191     77
195403     59    199    214    231    191     77
195404     59    199    213    231    191     77
195405     59    199    213    231    189     76
195406     59    199    213    231    189     76
195407     59    200    223    232    188     68
195408     59    200    223    231    188     68
195409     59    200    223    231    188     68
195410     58    200    223    231    187     67
195411     58    199    223    231    187     67
195412     58    199    223    231    187     67
195501     58    199    223    230    187     67
195502     58    198    221    230    187     67
195503     58    197    220    230    187     67
195504     56    197    220    230    187     67
195505     56    195    220    230    186     67
195506     56    195    220    230    186     67
195507     64    195    221    226    191     70
195508     63    194    221    226    191     70
195509     63    192    221    226    190     70
195510     63    191    221    226    189     70
195511     63    191    221    226    189     70
195512     63    189    221    225    189     70
195601     63    188    220    225    189     70
195602     62    188    220    225    189     70
195603     62    188    220    225    189     70
195604     62    188    220    225    189     70
195605     62    187    220    225    189     70
195606     61    186    220    225    189     70
195607     66    189    222    224    197     68
195608     65    189    222    223    196     68
195609     65    188    222    223    196     68
195610     65    187    222    222    195     68
195611     65    187    221    222    195     68
195612     65    187    221    222    195     68
195701     65    186    220    220    195     68
195702     65    186    220    220    195     68
195703     65    186    220    220    195     68
195704     65    185    220    220    195     68
195705     64    184    219    220    195     68
195706     63    183    218    220    195     68
195707     59    191    220    231    195     69
195708     58    191    219    231    195     69
195709     58    191    218    231    195     69
195710     57    191    218    231    194     69
195711     57    191    218    231    194     69
195712     57    191    217    231    194     69
195801     57    191    217    231    194     69
195802     57    191    217    231    194     69
195803     57    189    216    231    194     69
195804     57    189    216    231    194     69
195805     57    189    215    231    193     69
195806     57    189    214    230    193     69
195807     53    209    225    244    186     72
195808     53    209    225    244    185     72
195809     53    209    223    243    185     72
195810     52    208    223    242    185     72
195811     52    208    223    242    185     72
195812     51    208    222    242    185     72
195901     51    208    222    242    185     72
195902     51    208    220    242    185     72
195903     51    205    219    242    184     72
195904     51    203    218    242    184     72
195905     51    203    218    242    184     72
195906     51    203    218    242    184     72
195907     66    197    224    231    200     72
195908     65    197    224    231    200     72
195909     65    197    224    231    200     72
195910     65    196    223    231    200     72
195911     65    196    223    230    200     72
195912     65    195    223    230    199     72
196001     64    195    223    230    199     72
196002     64    195    222    230    199     72
196003     64    194    222    230    199     72
196004     64    192    221    230    199     72
196005     64    189    221    230    199     72
196006     64    189    221    230    199     72
196007     78    182    230    225    222     70
196008     78    182    229    225    222     70
196009     78    181    229    225    222     70
196010     78    181    226    225    222     70
196011     78    180    225    225    222     70
196012     78    180    224    225    222     70
196101     76    180    222    225    222     70
196102     76    180    218    225    222     70
196103     76    180    217    225    222     70
196104     76    180    216    225    221     70
196105     76    180    216    225    221     70
196106     76    179    215    225    221     70
196107     71    202    231    239    209     77
196108     70    200    230    239    209     77
196109     70    200    230    239    208     77
196110     70    200    229    239    207     77
196111     70    198    229    239    207     77
196112     70    198    228    238    207     76
196201     70    198    227    238    207     76
196202     70    198    226    237    206     76
196203     70    198    226    237    206     76
196204     68    197    225    236    206     76
196205     68    196    224    236    206     76
196206     66    195    224    236    206     76
196207     87    198    235    229    224     80
196208     87    198    235    229    224     80
196209     87    197    235    229    224     80
196210     87    197    235    228    224     80
196211     87    195    235    228    224     80
196212     87    194    235    228    224     80
196301     87    194    235    228    224     80
196302     87    194    234    228    224     80
196303     87    194    233    228    224     80
196304     87    193    232    228    224     80
196305     87    191    229    228    223     80
196306     86    191    229    227    223     80
196307    211    351    354    261    224     83
196308    211    351    353    261    224     83
196309    211    350    351    261    224     83
196310    211    349    349    260    223     83
196311    211    349    348    260    223     83
196312    211    349    347    260    222     83
196401    210    347    345    260    222     83
196402    210    347    345    260    222     83
196403    210    344    345    260    222     83
196404    210    344    344    260    222     83
196405    209    343    343    260    222     83
196406    209    342    343    260    222     83
196407    214    324    388    242    245     83
196408    213    324    388    241    245     82
196409    213    324    385    241    245     82
196410    213    322    384    241    244     81
196411    213    321    384    241    244     81
196412    213    321    383    241    244     81
196501    213    320    381    241    244     81
196502    213    320    378    240    244     81
196503    213    319    376    240    244     81
196504    213    319    373    240    243     81
196505    213    319    373    240    243     81
196506    212    319    373    240    243     80
196507    215    346    414    250    257     80
196508    215    346    414    249    257     80
196509    215    346    410    249    257     80
196510    215    345    408    249    256     80
196511    215    344    408    249    255     80
196512    215    344    405    249    255     80
196601    214    344    403    249    253     80
196602    214    344    402    249    253     79
196603    214    344    402    249    253     79
196604    213    343    401    249    253     79
196605    213    340    400    248    253     79
196606    213    339    399    248    252     79
196607    264    378    378    255    243    100
196608    264    377    378    255    243    100
196609    264    377    378    255    242    100
196610    264    377    375    255    241    100
196611    262    376    373    255    241    100
196612    262    374    371    255    241    100
196701    262    373    370    255    241    100
196702    262    373    370    255    241    100
196703    262    372    370    255    240    100
196704    262    371    370    255    239    100
196705    259    369    369    253    237    100
196706    259    367    368    253    237     98
196707    254    370    442    266    247     84
196708    252    370    441    265    247     84
196709    251    368    440    265    243     83
196710    249    367    438    265    241     83
196711    249    366    438    265    240     82
196712    248    365    437    265    237     82
196801    248    361    428    264    237     81
196802    247    359    427    263    237     80
196803    246    359    427    263    237     80
196804    245    359    424    262    234     80
196805    245    356    421    262    234     80
196806    245    352    419    261    234     80
196807    422    348    337    218    248    110
196808    421    346    337    218    248    109
196809    420    346    335    218    245    108
196810    418    342    334    218    245    106
196811    418    339    334    218    245    106
196812    418    338    330    218    244    106
196901    418    333    329    218    244    106
196902    418    329    327    218    244    106
196903    418    328    324    218    244    106
196904    418    328    323    218    241    106
196905    418    328    323    218    241    104
196906    417    328    323    217    241    103
196907    477    409    302    210    248    142
196908    477    405    302    210    248    142
196909    477    404    301    210    247    142
196910    477    403    301    210    247    142
196911    477    403    300    210    247    142
196912    477    401    298    210    247    142
197001    476    401    297    210    247    142
197002    476    400    297    210    247    142
197003    475    400    297    210    247    140
197004    473    398    296    210    247    140
197005    471    396    296    210    247    140
197006    470    395    295    209    247    140
197007    427    460    419    238    256    133
197008    425    460    417    238    255    133
197009    425    460    417    238    255    133
197010    425    458    416    238    255    133
197011    425    457    415    237    255    133
197012    422    457    412    237    255    132
197101    421    455    411    236    255    132
197102    419    454    411    235    255    131
197103    419    453    411    235    255    131
197104    416    453    411    235    255    131
197105    412    451    410    234    255    131
197106    411    448    409    234    255    128
197107    312    497    574    286    260     93
197108    312    496    572    286    260     93
197109    312    496    570    286    260     93
197110    312    496    570    286    260     93
197111    311    495    569    286    260     93
197112    310    494    568    286    260     92
197201    309    492    565    286    260     92
197202    309    492    564    286    260     92
197203    308    492    560    286    260     92
197204    306    492    558    285    260     92
197205    306    492    557    285    260     92
197206    306    491    555    285    260     92
197207    338    535    578    297    272    112
197208    338    534    574    296    272    112
197209    337    534    573    296    272    112
197210    336    533    573    296    272    112
197211    334    533    571    296    272    111
197212    333    533    571    296    272    111
197301    332    532    568    296    272    111
197302    331    530    567    295    271    111
197303    331    528    566    295    271    111
197304    331    526    566    295    271    111
197305    330    524    560    294    271    111
197306    330    523    559    293    271    111
197307    778    874    943    382    327    134
197308    774    871    941    381    327    134
197309    773    871    937    381    326    134
197310    772    870    936    381    326    134
197311    768    868    930    381    326    132
197312    768    866    927    381    326    132
197401    768    863    919    380    326    132
197402    764    862    917    379    326    132
197403    762    860    912    379    326    132
197404    759    858    910    379    326    132
197405    756    855    905    379    325    132
197406    752    854    898    379    324    132
197407    623    919   1091    437    300    106
197408    622    915   1086    436    300    106
197409    619    912   1082    436    299    106
197410    616    908   1079    436    299    106
197411    615    906   1076    436    299    105
197412    615    899   1074    436    298    105
197501    615    899   1067    436    298    105
197502    613    899   1065    435    298    105
197503    613    897   1063    435    298    105
197504    612    897   1060    435    298    105
197505    612    896   1059    435    297    105
197506    607    893   1048    434    297    105
197507    661   1031   1240    422    312     82
197508    657   1030   1240    422    311     82
197509    655   1030   1238    422    311     82
197510    653   1028   1235    422    311     82
197511    649   1028   1230    422    311     82
197512    644   1023   1227    422    311     82
197601    642   1019   1223    422    311     82
197602    641   1016   1222    421    311     81
197603    640   1014   1215    421    311     81
197604    635   1011   1212    421    311     81
197605    633   1009   1208    420    310     81
197606    631   1006   1206    420    309     81
197607    690   1022   1285    391    321     95
197608    687   1015   1281    391    321     95
197609    686   1014   1273    391    321     95
197610    684   1014   1270    391    321     95
197611    682   1010   1267    391    321     95
197612    678   1006   1262    390    321     95
197701    670   1003   1258    390    321     94
197702    668   1001   1256    387    321     94
197703    666    998   1253    386    321     94
197704    666    996   1250    386    321     94
197705    657    991   1246    386    321     94
197706    655    990   1243    386    321     93
197707    732    920   1421    364    332    111
197708    730    917   1415    363    331    111
197709    729    913   1409    362    331    111
197710    726    908   1401    361    331    111
197711    725    906   1398    360    331    111
197712    719    905   1389    358    331    110
197801    715    893   1378    358    330    110
197802    715    892   1368    358    330    110
197803    714    889   1361    358    330    110
197804    710    885   1353    358    329    110
197805    702    879   1348    356    328    109
197806    696    871   1337    355    328    109
197807    910    891   1230    324    320    147
197808    905    882   1223    322    319    147
197809    898    880   1217    322    318    147
197810    895    877   1211    320    318    147
197811    890    874   1207    319    317    146
197812    884    869   1200    319    317    146
197901    880    856   1193    318    316    146
197902    876    853   1186    316    314    146
197903    872    852   1181    315    314    146
197904    866    846   1174    315    313    146
197905    863    842   1170    314    312    146
197906    857    834   1160    313    311    146
197907   1037    952   1025    304    324    155
197908   1034    948   1014    304    323    155
197909   1030    944   1008    304    321    154
197910   1028    941   1005    304    321    154
197911   1019    936   1002    302    321    154
197912   1016    928    996    300    321    154
198001   1006    924    987    299    317    153
198002    999    922    982    298    317    152
198003    995    918    977    298    316    152
198004    989    915    968    298    316    152
198005    985    908    961    297    315    152
198006    980    904    955    297    314    152
198007   1031    982    969    324    301    162
198008   1022    978    966    324    300    162
198009   1011    969    962    324    298    162
198010   1008    967    958    324    297    161
198011   1005    962    955    322    297    159
198012   1002    956    949    322    297    157
198101    994    952    939    321    296    157
198102    986    944    935    321    295    157
198103    982    936    931    321    294    157
198104    976    932    927    316    294    157
198105    974    929    925    315    292    157
198106    969    919    919    314    292    156
198107   1232    906    948    329    293    157
198108   1229    902    944    326    292    157
198109   1223    896    940    324    292    157
198110   1217    891    933    324    290    157
198111   1212    887    931    322    290    157
198112   1207    881    925    321    289    157
198201   1202    876    921    321    287    156
198202   1195    869    917    321    287    156
198203   1191    863    910    318    286    156
198204   1185    856    902    316    284    156
198205   1179    852    897    316    284    155
198206   1172    848    891    314    283    153
198207   1451   1009    848    307    292    174
198208   1445   1007    843    305    290    174
198209   1433    997    837    304    289    174
198210   1427    993    830    303    289    174
198211   1410    990    823    302    289    173
198212   1401    985    821    300    287    173
198301   1387    977    813    299    285    173
198302   1376    973    810    299    283    173
198303   1371    970    802    298    282    173
198304   1362    968    797    298    282    173
198305   1348    964    792    298    282    172
198306   1334    960    787    297    282    172
198307   1414   1049    891    319    296    169
198308   1407   1040    884    319    294    169
198309   1399   1037    880    319    292    169
198310   1395   1030    878    319    292    168
198311   1392   1024    873    319    292    168
198312   1386   1015    869    318    291    165
198401   1375   1005    860    317    290    165
198402   1368    997    850    317    289    164
198403   1362    992    845    317    289    164
198404   1357    987    836    316    289    164
198405   1349    981    829    316    289    164
198406   1331    971    822    315    289    163
198407   1825   1100    791    273    282    216
198408   1819   1096    784    272    280    216
198409   1803   1083    772    271    277    216
198410   1790   1068    765    268    275    216
198411   1771   1059    756    267    272    214
198412   1761   1048    750    266    271    214
198501   1743   1040    741    264    270    214
198502   1733   1030    734    264    269    213
198503   1720   1029    728    263    269    212
198504   1708   1022    724    263    269    212
198505   1694   1010    715    263    268    210
198506   1672    997    709    262    268    208
198507   1710   1163    891    302    299    193
198508   1693   1158    877    300    298    193
198509   1684   1151    868    296    295    192
198510   1673   1139    855    295    294    192
198511   1656   1124    847    295    290    192
198512   1630   1117    840    293    288    191
198601   1612   1108    832    292    286    191
198602   1600   1101    829    290    286    191
198603   1581   1091    823    290    284    191
198604   1568   1081    816    289    282    187
198605   1552   1074    805    287    281    187
198606   1536   1067    799    287    278    187
198607   1560   1204    914    320    302    193
198608   1546   1198    905    319    300    193
198609   1532   1186    898    318    300    191
198610   1518   1172    889    318    295    191
198611   1499   1156    874    317    293    190
198612   1477   1129    852    316    288    189
198701   1460   1120    846    315    286    189
198702   1454   1117    843    315    283    189
198703   1443   1108    835    314    282    188
198704   1439   1100    827    313    281    187
198705   1429   1094    824    313    281    186
198706   1418   1087    816    313    280    183
198707   1618   1254   1050    315    297    177
198708   1604   1245   1042    313    296    177
198709   1592   1237   1035    312    295    176
198710   1576   1226   1024    310    295    175
198711   1564   1213   1013    310    293    174
198712   1541   1202   1005    310    292    173
198801   1531   1194    997    310    291    172
198802   1507   1188    983    310    291    172
198803   1492   1173    978    309    287    171
198804   1477   1161    969    308    286    171
198805   1459   1150    953    307    285    170
198806   1443   1138    948    305    283    169
198807   1556   1224   1247    327    307    159
198808   1536   1215   1230    327    305    159
198809   1521   1198   1221    326    305    159
198810   1503   1191   1213    325    304    158
198811   1482   1179   1202    324    302    158
198812   1455   1163   1188    321    301    156
198901   1439   1158   1176    319    298    155
198902   1424   1148   1167    319    298    155
198903   1408   1137   1157    318    297    155
198904   1402   1130   1148    317    296    154
198905   1389   1115   1138    313    296    154
198906   1369   1106   1126    310    296    153
198907   1518   1203   1195    290    294    169
198908   1503   1193   1186    286    294    169
198909   1487   1186   1175    286    294    169
198910   1475   1178   1167    285    294    168
198911   1457   1171   1157    285    292    167
198912   1447   1167   1147    283    291    167
199001   1430   1161   1136    281    288    166
199002   1415   1154   1129    281    288    166
199003   1400   1148   1120    281    287    166
199004   1383   1141   1114    281    286    166
199005   1375   1131   1097    281    286    166
199006   1350   1123   1086    281    284    166
199007   1303   1181   1278    334    295    145
199008   1295   1176   1264    331    293    145
199009   1288   1172   1256    331    290    145
199010   1278   1164   1246    330    290    145
199011   1267   1161   1236    330    288    145
199012   1262   1154   1229    329    288    145
199101   1253   1145   1223    328    288    145
199102   1244   1140   1217    328    288    145
199103   1236   1135   1208    327    288    145
199104   1221   1128   1196    327    288    145
199105   1211   1123   1185    327    287    145
199106   1205   1118   1178    327    287    145
199107   1226   1104   1367    360    306    133
199108   1219   1099   1356    359    306    133
199109   1218   1094   1349    358    306    133
199110   1211   1088   1340    358    306    133
199111   1205   1081   1326    358    306    133
199112   1193   1077   1312    356    306    132
199201   1189   1072   1300    356    306    130
199202   1178   1065   1291    356    306    130
199203   1172   1060   1275    356    306    129
199204   1158   1054   1264    356    305    128
199205   1133   1048   1255    355    305    128
199206   1113   1038   1239    355    304    127
199207   1402    947   1328    352    340    164
199208   1392    939   1308    352    340    164
199209   1386    939   1301    350    340    164
199210   1375    933   1288    349    339    164
199211   1370    930   1279    349    339    164
199212   1365    921   1276    349    339    163
199301   1360    920   1264    349    338    163
199302   1355    913   1257    349    338    163
199303   1348    906   1249    349    336    162
199304   1342    906   1244    349    336    162
199305   1336    900   1240    349    336    162
199306   1326    896   1233    349    336    162
199307   1533   1130   1237    375    359    169
199308   1526   1125   1227    375    359    169
199309   1517   1121   1226    375    359    169
199310   1511   1120   1222    373    357    168
199311   1507   1116   1217    372    357    167
199312   1498   1112   1208    372    357    166
199401   1493   1111   1198    372    356    164
199402   1483   1105   1192    372    355    164
199403   1480   1101   1186    372    354    164
199404   1472   1097   1177    372    354    163
199405   1461   1091   1167    372    354    163
199406   1445   1084   1160    372    354    163
199407   1814   1463   1546    419    355    192
199408   1806   1454   1535    417    353    192
199409   1797   1443   1520    415    351    191
199410   1787   1438   1509    413    350    191
199411   1777   1432   1493    413    349    191
199412   1764   1421   1477    411    348    190
199501   1754   1412   1454    409    348    190
199502   1736   1407   1445    408    346    190
199503   1722   1394   1434    406    343    190
199504   1709   1390   1426    405    342    190
199505   1693   1384   1412    404    338    188
199506   1674   1376   1400    403    338    188
199507   1653   1715   1639    449    381    200
199508   1644   1703   1626    448    380    200
199509   1634   1693   1615    447    376    200
199510   1625   1679   1596    445    376    200
199511   1617   1664   1581    443    374    200
199512   1606   1654   1567    441    373    198
199601   1595   1636   1545    438    370    196
199602   1583   1628   1526    436    368    196
199603   1574   1616   1517    435    365    195
199604   1567   1604   1504    434    362    194
199605   1553   1597   1490    433    361    194
199606   1544   1585   1480    433    361    194
199607   1788   1699   1648    494    398    194
199608   1779   1679   1635    492    397    194
199609   1773   1667   1622    489    395    194
199610   1763   1655   1607    488    395    193
199611   1753   1646   1592    488    393    193
199612   1741   1628   1577    486    390    191
199701   1730   1612   1563    481    388    190
199702   1716   1602   1552    480    388    189
199703   1699   1586   1536    479    388    188
199704   1686   1575   1527    477    387    188
199705   1673   1565   1519    476    384    187
199706   1654   1549   1505    473    381    184
199707   1800   1823   1770    504    447    205
199708   1779   1808   1753    502    440    203
199709   1768   1797   1734    501    434    202
199710   1757   1773   1717    499    431    199
199711   1742   1759   1702    498    430    197
199712   1715   1736   1674    497    428    195
199801   1698   1722   1652    495    426    193
199802   1677   1703   1640    495    424    191
199803   1658   1687   1610    493    422    190
199804   1648   1665   1589    491    420    188
199805   1627   1649   1571    490    417    187
199806   1604   1637   1543    487    412    183
199807   1523   1928   1752    546    420    196
199808   1505   1902   1735    541    420    193
199809   1486   1887   1707    538    415    193
199810   1454   1867   1670    534    407    193
199811   1441   1861   1640    533    401    192
199812   1423   1840   1611    532    399    191
199901   1405   1818   1582    527    395    191
199902   1388   1802   1556    527    394    191
199903   1365   1769   1528    521    394    189
199904   1354   1741   1507    521    389    188
199905   1339   1715   1491    520    386    187
199906   1326   1686   1468    513    382    185
199907   1247   1661   1848    600    400    154
199908   1230   1638   1828    594    396    154
199909   1210   1618   1806    592    394    154
199910   1195   1600   1788    587    387    154
199911   1173   1572   1765    581    384    152
199912   1163   1550   1733    577    382    151
200001   1153   1536   1714    573    379    150
200002   1136   1521   1696    571    378    148
200003   1123   1501   1670    567    376    148
200004   1113   1487   1650    564    373    147
200005   1100   1470   1634    564    371    146
200006   1089   1448   1612    560    368    142
200007   1411   1583   1526    773    352    127
200008   1397   1564   1513    767    349    126
200009   1387   1536   1497    759    344    126
200010   1370   1517   1466    752    341    125
200011   1357   1498   1433    749    335    125
200012   1328   1479   1413    748    332    122
200101   1295   1460   1389    745    329    122
200102   1278   1444   1379    742    324    121
200103   1263   1430   1360    739    321    120
200104   1246   1407   1334    734    320    120
200105   1227   1388   1303    730    319    120
200106   1208   1374   1283    721    317    119
200107   1021   1462   1940    562    373    104
200108   1006   1443   1892    554    372    104
200109    998   1435   1866    554    370    104
200110    990   1423   1844    553    368    103
200111    976   1407   1806    551    366    102
200112    966   1393   1787    549    363    101
200201    958   1385   1757    544    361    100
200202    949   1377   1728    543    360     98
200203    942   1361   1710    543    358     96
200204    926   1350   1685    543    358     96
200205    921   1336   1667    543    357     95
200206    916   1323   1653    542    355     95
200207   1100   1368   1562    443    339    129
200208   1091   1357   1540    443    338    128
200209   1086   1351   1522    443    337    128
200210   1076   1338   1500    443    336    128
200211   1069   1332   1479    443    334    128
200212   1059   1322   1462    443    333    128
200301   1046   1314   1438    443    331    128
200302   1041   1298   1425    442    331    128
200303   1024   1277   1403    441    329    128
200304   1018   1271   1384    439    328    128
200305   1014   1260   1364    439    328    128
200306   1005   1253   1345    438    328    128
200307    878   1420   1382    439    329    142
200308    872   1408   1365    436    328    142
200309    870   1403   1349    436    327    141
200310    863   1392   1337    436    327    141
200311    858   1384   1319    433    327    141
200312    855   1375   1298    433    327    141
200401    850   1367   1281    432    327    141
200402    845   1358   1272    430    327    141
200403    841   1350   1263    429    326    141
200404    833   1341   1251    428    323    141
200405    830   1326   1241    428    322    141
200406    826   1312   1233    428    321    141
200407   1198   1318    974    430    317    153
200408   1190   1313    965    429    316    152
200409   1187   1306    957    429    314    152
200410   1180   1295    948    429    312    151
200411   1173   1288    936    429    311    151
200412   1168   1279    925    429    309    149
200501   1163   1264    913    428    309    149
200502   1160   1260    898    428    309    149
200503   1154   1257    885    428    306    148
200504   1147   1249    877    426    305    148
200505   1138   1239    866    425    305    148
200506   1129   1233    860    424    304    147
200507   1266   1237    968    399    318    175
200508   1260   1226    959    395    314    174
200509   1253   1218    954    395    313    174
200510   1239   1208    949    394    311    174
200511   1232   1198    943    393    310    173
200512   1224   1193    926    392    308    171
200601   1214   1184    916    390    305    170
200602   1205   1177    907    388    303    170
200603   1196   1173    901    386    300    168
200604   1186   1165    897    385    297    166
200605   1177   1160    887    384    297    164
200606   1170   1152    885    381    294    164
200607   1112   1229   1070    387    320    151
200608   1107   1224   1062    385    319    151
200609   1104   1219   1051    385    319    151
200610   1097   1209   1045    383    318    151
200611   1091   1204   1033    381    315    150
200612   1081   1196   1021    380    313    149
200701   1067   1178   1013    380    310    149
200702   1059   1170   1006    379    309    149
200703   1051   1164    999    379    306    148
200704   1043   1152    984    378    305    147
200705   1035   1142    977    377    304    146
200706   1030   1127    965    376    303    146
200707   1058   1302    995    364    290    174
200708   1051   1290    983    363    288    173
200709   1044   1280    975    362    285    173
200710   1033   1269    967    358    280    172
200711   1022   1255    957    356    277    171
200712   1015   1243    945    354    276    169
200801   1008   1235    941    354    275    169
200802   1000   1226    933    354    275    169
200803    991   1217    924    353    274    169
200804    982   1205    916    351    274    169
200805    971   1196    903    351    273    169
200806    967   1188    897    350    272    169
200807    899   1208   1182    396    306    134
200808    890   1202   1170    395    305    133
200809    884   1191   1164    394    302    131
200810    878   1177   1150    393    301    131
200811    874   1171   1133    390    300    131
200812    865   1164   1120    390    299    130
200901    859   1160   1111    390    298    126
200902    852   1150   1100    390    298    125
200903    844   1140   1085    389    298    125
200904    837   1125   1075    389    297    125
200905    830   1118   1067    389    297    125
200906    825   1110   1050    389    297    124
200907    695   1078   1235    382    323    129
200908    695   1072   1224    382    323    129
200909    691   1068   1213    382    323    129
200910    687   1060   1200    380    321    129
200911    684   1053   1181    379    320    128
200912    680   1049   1167    378    320    128
201001    676   1044   1157    376    320    127
201002    672   1037   1146    376    318    127
201003    667   1035   1133    374    317    126
201004    666   1026   1120    374    314    126
201005    663   1021   1110    374    314    126
201006    658   1020   1105    372    313    126
201007    754    968   1075    385    310    158
201008    749    962   1071    385    309    158
201009    743    956   1065    384    309    158
201010    736    950   1060    380    307    158
201011    727    946   1049    379    306    157
201012    723    936   1029    379    306    157
201101    719    931   1018    379    305    156
201102    716    923   1011    379    304    155
201103    712    918   1004    377    303    154
201104    706    908    994    376    301    154
201105    703    901    983    374    301    154
201106    698    890    968    371    298    153
201107    772    906   1024    376    282    174
201108    769    906   1017    376    281    174
201109    766    903   1013    374    279    174
201110    763    897   1005    373    278    174
201111    760    888    994    372    276    174
201112    756    885    984    370    274    174
201201    753    877    975    369    274    173
201202    746    874    970    367    272    173
201203    742    870    964    367    272    170
201204    738    867    957    366    272    169
201205    734    860    952    366    270    169
