Date,Open,High,Low,Close,Volume,Adj Close
2004-12-01,60.33,64.25,59.60,63.42,8040900,53.34
2004-11-01,58.35,61.49,57.81,60.32,6310600,50.73
2004-10-01,56.39,58.48,54.81,58.38,6985400,48.87
2004-09-01,58.00,58.80,56.09,56.33,5635800,47.15
2004-08-02,55.00,58.10,54.37,58.10,5129900,48.63
2004-07-01,55.35,58.14,54.43,55.27,6996800,46.03
2004-06-01,55.23,57.28,54.50,55.70,6259700,46.39
2004-05-03,54.22,56.39,54.02,55.71,7309700,46.40
2004-04-01,51.05,54.77,49.90,54.03,8295300,44.76
2004-03-01,54.49,54.49,49.25,50.72,7831500,42.02
2004-02-02,53.41,54.90,52.79,53.91,6945300,44.66
2004-01-02,51.66,54.04,50.43,53.42,8932100,44.06
2003-12-01,50.30,51.74,48.79,51.66,8703400,42.61
2003-11-03,50.08,52.89,48.26,49.30,8957100,40.67
2003-10-01,49.71,51.15,48.05,50.33,9170000,41.32
2003-09-02,49.78,52.50,49.09,49.52,9837000,40.65
2003-08-01,50.95,52.25,49.00,49.58,7795900,40.70
2003-07-01,51.70,54.24,50.55,51.79,8639900,42.32
2003-06-02,54.35,55.57,50.75,51.70,10821600,42.24
2003-05-01,56.36,57.52,52.55,54.35,8083600,44.41
2003-04-01,57.87,59.08,53.95,56.36,7919500,45.85
2003-03-03,53.16,58.68,51.50,57.87,8083400,47.08
2003-02-03,53.50,53.95,49.10,52.45,7655000,42.67
2003-01-02,54.25,57.55,51.54,53.61,7956100,43.43
2002-12-02,56.59,57.07,53.00,53.71,7122900,43.52
2002-11-01,58.33,61.24,56.30,57.02,6937200,46.20
2002-10-01,54.95,61.30,54.30,58.75,10150900,47.44
2002-09-03,53.88,56.25,51.45,54.08,7827500,43.67
2002-08-01,53.00,56.50,49.75,54.31,7507900,43.85
2002-07-01,51.70,54.85,41.40,52.60,16378700,42.32
2002-06-03,61.10,61.74,52.00,52.26,10014800,42.04
2002-05-01,63.97,64.63,59.16,61.35,7646900,49.36
2002-04-01,64.20,65.29,61.78,63.86,7653200,51.20
2002-03-01,60.90,65.89,60.60,64.95,8019000,52.07
2002-02-01,57.26,60.97,54.70,60.90,7271200,48.83
2002-01-02,58.90,60.10,56.60,57.51,6601800,45.97
2001-12-03,57.82,60.18,55.42,59.10,8706900,47.24
2001-11-01,57.58,60.97,57.51,58.25,7557100,46.56
2001-10-01,55.40,59.66,53.05,57.91,8206900,46.15
2001-09-04,55.35,57.16,50.20,55.40,12474300,44.15
2001-08-01,54.10,57.60,52.30,52.71,7394900,42.00
2001-07-02,50.10,54.98,50.00,54.10,8229200,42.97
2001-06-01,96.96,103.50,49.13,49.96,9688900,39.68
2001-05-01,96.60,102.00,95.82,96.95,8773800,38.50
2001-04-02,87.50,96.70,85.19,96.48,10913100,38.18
2001-03-01,97.80,99.85,80.50,87.47,14132500,34.61
2001-02-01,93.13,98.25,93.13,97.33,6520200,38.51
2001-01-02,104.00,104.69,90.37,93.13,8434400,36.73
2000-12-01,99.25,105.94,95.25,105.06,7247600,41.43
2000-11-01,92.00,103.00,89.19,100.00,7308700,39.44
2000-10-02,94.19,97.50,90.31,92.12,6778300,36.21
2000-09-01,92.50,97.81,90.31,93.94,5096500,36.92
2000-08-01,92.50,98.87,91.25,91.95,4573000,36.14
2000-07-03,101.25,101.44,90.25,93.06,7025700,36.46
2000-06-01,89.25,101.98,82.50,101.87,7550100,39.91
2000-05-01,82.25,90.00,81.87,89.50,5671200,35.06
2000-04-03,70.62,84.44,70.00,82.50,9266200,32.20
2000-03-01,72.25,82.25,66.12,70.25,12519600,27.42
2000-02-01,85.44,86.31,70.06,72.00,9840400,28.10
2000-01-03,93.12,96.94,80.50,86.06,8133900,33.47
1999-12-01,103.25,103.44,90.12,93.25,6547700,36.27
1999-11-01,105.25,106.87,101.81,103.75,4536500,40.35
1999-10-01,92.12,106.44,92.12,104.75,6326000,40.63
1999-09-01,102.25,102.62,90.00,91.87,5154800,35.64
1999-08-02,91.94,105.87,90.31,102.25,4936300,39.66
1999-07-01,97.37,99.50,91.06,91.06,4256900,35.22
1999-06-01,92.44,98.00,89.25,98.00,4073300,37.90
1999-05-03,97.44,98.00,87.81,92.62,5109600,35.82
1999-04-01,93.25,103.00,88.87,97.50,5234400,37.60
1999-03-01,84.75,94.00,83.69,93.50,4473600,36.05
1999-02-01,84.87,88.12,81.62,85.37,4678900,32.92
1999-01-04,82.94,86.31,77.00,85.12,6118700,32.72
1998-12-01,81.06,84.37,76.19,83.87,6107700,32.24
1998-11-02,81.44,89.75,80.62,81.25,4600300,31.24
1998-10-01,77.12,84.69,72.62,81.50,5827800,31.24
1998-09-01,69.12,80.81,68.12,78.25,5777300,29.99
1998-08-03,77.19,77.81,68.87,69.00,4583000,26.45
1998-07-01,73.75,79.37,70.81,77.25,5129600,29.51
1998-06-01,69.87,77.87,67.06,74.00,4660500,28.27
1998-05-01,72.50,72.69,68.12,69.06,3633500,26.38
1998-04-01,73.31,77.50,68.06,71.50,5082900,27.22
1998-03-02,75.19,76.44,71.06,73.44,3975200,27.96
1998-02-02,68.50,75.50,68.06,75.37,4606200,28.70
1998-01-02,65.06,69.44,63.38,66.94,5345800,25.40
1997-12-01,63.38,67.31,63.13,65.87,4470100,25.00
1997-11-03,58.44,65.00,58.19,62.94,5023100,23.89
1997-10-01,58.13,62.13,53.00,57.38,5845500,21.70
1997-09-02,56.75,60.56,55.13,57.69,5979500,21.81
1997-08-01,62.00,62.50,55.94,56.69,6240000,21.44
1997-07-01,64.37,65.87,60.00,62.13,5637000,23.41
1997-06-02,60.25,66.50,58.75,64.37,5156000,24.25
1997-05-01,60.63,62.63,58.25,60.00,4496500,22.60
1997-04-01,52.88,61.50,51.13,61.13,5022700,22.95
1997-03-03,57.00,61.38,52.75,52.88,5688800,19.85
1997-02-03,58.00,62.75,56.63,57.50,5223600,21.58
1997-01-02,49.88,58.50,48.63,57.75,5994500,21.61
1996-12-02,53.13,53.75,48.00,49.75,4130100,18.62
1996-11-01,49.75,54.00,48.88,53.25,4170900,19.93
1996-10-01,51.25,52.88,47.13,49.25,4234300,18.36
1996-09-03,48.63,51.75,48.25,51.25,3278800,19.11
1996-08-01,47.75,53.38,47.75,49.25,3133800,18.36
1996-07-01,49.75,50.00,44.13,47.75,3736300,17.74
1996-06-03,97.00,100.37,47.50,49.50,4315300,18.39
1996-05-01,92.00,98.37,88.37,97.37,4684800,18.09
1996-04-01,93.12,95.25,85.62,92.50,5838900,17.11
1996-03-01,94.25,98.25,91.00,92.25,5989000,17.06
1996-02-01,96.25,100.37,92.37,93.50,8224400,17.30
1996-01-02,85.50,96.50,83.12,96.00,5841500,17.70
1995-12-01,86.87,92.37,85.12,85.50,4993700,15.76
1995-11-01,81.25,87.25,79.62,86.62,3630800,15.97
1995-10-02,73.62,84.12,73.12,81.50,4341000,14.96
1995-09-01,69.00,74.87,68.37,74.12,3586200,13.61
1995-08-01,71.50,71.50,66.87,69.00,2942700,12.67
1995-07-03,67.25,71.75,64.37,71.75,4475000,13.11
1995-06-01,66.00,71.25,65.37,67.50,3554600,12.34
1995-05-01,64.75,67.62,61.63,66.12,5342000,12.08
1995-04-03,59.38,65.12,58.38,65.00,5082500,11.82
1995-03-01,56.63,63.00,56.38,59.50,4601900,10.82
1995-02-01,58.38,58.38,55.50,56.75,4734100,10.32
1995-01-03,54.63,59.50,53.63,58.13,4788300,10.52
1994-12-01,53.63,55.75,52.13,54.75,4274200,9.91
1994-11-01,54.25,56.50,51.25,53.38,5489800,9.66
1994-10-03,51.88,56.13,49.50,54.63,5166900,9.83
1994-09-01,50.13,52.38,48.38,51.75,4807300,9.31
1994-08-01,47.00,50.63,46.63,50.13,6292700,9.02
1994-07-01,43.13,47.63,42.25,47.00,5284200,8.41
1994-06-01,44.13,44.25,42.25,42.88,3707700,7.67
1994-05-02,41.38,44.88,40.50,44.25,4487100,7.91
1994-04-04,36.50,41.88,36.25,41.38,5611300,7.35
1994-03-01,40.13,40.88,36.00,37.75,4976400,6.70
1994-02-01,42.25,43.13,40.00,40.13,4753500,7.13
1994-01-03,44.75,45.75,40.13,42.38,4914800,7.48
1993-12-01,43.75,45.50,42.38,44.88,4086300,7.92
1993-11-01,42.13,45.63,41.88,43.63,4521300,7.70
1993-10-01,39.25,42.63,38.50,42.13,4521600,7.39
1993-09-01,40.63,41.75,37.63,39.38,5682700,6.91
1993-08-02,36.63,41.00,35.63,40.75,6467000,7.15
1993-07-01,41.25,41.38,36.13,36.50,6572500,6.36
1993-06-01,44.50,45.75,40.50,41.50,5156000,7.23
1993-05-03,44.00,45.75,42.25,44.63,4794600,7.78
1993-04-01,42.63,43.88,38.38,43.63,5828400,7.56
1993-03-01,42.88,44.75,38.63,42.63,7387700,7.38
1993-02-01,44.38,46.13,37.63,42.50,8792100,7.36
1993-01-04,50.25,50.38,43.50,44.00,5943400,7.58
1992-12-01,50.25,54.75,49.75,50.50,3778000,8.70
1992-11-02,49.75,51.88,47.63,50.38,3571100,8.68
1992-10-01,47.38,51.00,43.25,50.00,4469400,8.58
1992-09-01,49.25,52.88,46.50,47.13,4022900,8.08
1992-08-03,48.88,51.25,48.13,49.38,3353600,8.47
1992-07-01,44.63,49.63,44.63,49.25,3981100,8.41
1992-06-01,96.50,98.00,43.00,44.75,6779600,7.64
1992-05-01,94.37,97.75,92.00,96.87,5255800,8.27
1992-04-01,97.00,102.75,88.87,94.87,8204400,8.06
1992-03-02,100.75,102.62,94.00,97.50,5168400,8.28
1992-02-03,106.75,109.75,96.50,101.25,6128900,8.60
1992-01-02,112.50,117.37,102.25,107.50,6822000,9.10
1991-12-02,95.25,116.25,95.25,114.50,5877000,9.69
1991-11-01,94.87,100.12,92.50,96.37,4997000,8.15
1991-10-01,88.50,95.50,84.75,95.12,5340500,8.02
1991-09-03,93.12,93.62,88.00,88.37,4013300,7.45
1991-08-01,91.62,93.37,85.00,92.87,4132800,7.83
1991-07-01,84.50,91.62,81.75,91.62,5131900,7.69
1991-06-03,89.25,90.00,82.00,83.50,7708900,7.01
1991-05-01,94.25,96.25,88.87,90.62,6019000,7.60
1991-04-01,95.62,100.37,93.12,94.50,7249400,7.90
1991-03-01,81.12,99.50,81.00,95.87,9212300,8.01
1991-02-01,76.25,82.87,75.00,82.12,6873900,6.86
1991-01-02,71.37,76.62,65.37,76.50,7080600,6.36
1990-12-03,70.75,72.12,69.50,71.75,4826800,5.97
1990-11-01,64.25,70.37,63.75,69.75,6097000,5.80
1990-10-01,64.00,69.50,63.38,64.37,6154100,5.33
1990-09-04,64.62,66.75,60.50,63.25,5779200,5.24
1990-08-01,70.37,70.75,60.00,65.62,7473600,5.43
1990-07-02,67.75,74.12,67.50,70.62,5833500,5.82
1990-06-01,64.50,68.25,62.88,67.75,5422400,5.58
1990-05-01,57.00,64.37,56.75,63.88,5984100,5.26
1990-04-02,55.75,59.38,55.50,56.63,5000700,4.64
1990-03-01,53.88,57.50,53.75,56.13,4443300,4.60
1990-02-01,54.25,56.63,52.00,53.63,5187400,4.39
1990-01-02,58.75,60.75,51.13,52.38,6447200,4.27
