Date,Open,High,Low,Close,Volume,Adj Close,
7/7/2009,101.34,101.96,100.03,100.19,6685600,91.91,
7/6/2009,101.57,102.23,100.47,101.65,6522500,93.25,
7/2/2009,103.8,103.91,101.73,101.73,7026700,93.32,
7/1/2009,105,106.27,104.73,104.84,5537300,96.18,
6/30/2009,105.69,106.03,103.81,104.42,7512600,95.79,
6/29/2009,105.99,106.18,105.16,105.83,4681800,97.09,
6/26/2009,106.5,106.5,105.05,105.68,5127900,96.95,
6/25/2009,103.7,106.79,103.51,106.06,6900600,97.3,
6/24/2009,105.39,106.48,103.72,104.15,6395200,95.55,
6/23/2009,104.75,104.87,103.79,104.44,5152600,95.81,
6/22/2009,105.18,105.88,104.23,104.52,7295400,95.88,
6/19/2009,106.31,106.65,105.5,105.89,13559000,97.14,
6/18/2009,106.93,107.53,106.12,106.33,6206900,97.54,
6/17/2009,107.46,107.88,106.88,107,7366200,98.16,
6/16/2009,108.47,109.14,107.27,107.32,7231000,98.45,
6/15/2009,107.63,108.83,107.24,107.62,8567600,98.73,
6/12/2009,108.4,109.28,107.75,108.21,7250900,99.27,
6/11/2009,108.75,110.64,108.56,109.4,9134300,100.36,
6/10/2009,109.2,109.28,107.05,108.35,7578100,99.4,
6/9/2009,108.15,109.14,107.99,108.14,8585900,99.21,
6/8/2009,106.64,107.98,105.5,107.49,6363800,98.61,
6/5/2009,107.33,108.4,106.75,107.24,7665000,98.38,
6/4/2009,106.17,106.87,105.6,106.33,5468500,97.54,
6/3/2009,106.53,106.6,105.11,106.49,7688000,97.69,
6/2/2009,107.51,108.8,106.66,106.83,7045800,98,
6/1/2009,106.94,108.67,106.67,108.37,7725000,99.42,
5/29/2009,104.47,106.5,103.95,106.28,6871800,97.5,
5/28/2009,103.34,105.14,102.68,104.69,6127500,96.04,
5/27/2009,104.34,105.17,102.91,102.93,7119600,94.43,
5/26/2009,101.32,105.63,101.02,105.02,7211200,96.34,
5/22/2009,102.67,103.31,101.75,101.89,5596200,93.47,
5/21/2009,103.07,103.25,101.74,102.82,7411500,94.32,
5/20/2009,105.51,105.98,103.81,104.05,7083100,95.45,
5/19/2009,104.33,106.12,104,105.51,7079200,96.79,
5/18/2009,102,104.71,101.94,104.58,7429500,95.94,
5/15/2009,100.9,103.07,100.57,101.37,8367400,92.99,
5/14/2009,101.72,102.71,100.77,101.05,9445100,92.7,
5/13/2009,102.88,103.1,101.35,102.26,8202100,93.81,
5/12/2009,102.98,104.38,102.37,103.94,7961600,95.35,
5/11/2009,101.09,103.88,100.95,102.9,8253000,94.4,
5/8/2009,103.58,103.75,99.83,101.49,11575500,93.1,
5/7/2009,104.65,104.8,101.83,102.59,8521400,94.11,
5/6/2009,105.23,105.5,103.71,104.62,7530900,95.98,
5/5/2009,106,106.82,105.51,105.85,6750000,96.6,
5/4/2009,105.26,106.75,104.61,106.19,8313900,96.91,
5/1/2009,103.78,104.86,102.94,104.61,6234200,95.47,
4/30/2009,104.55,106.05,102.85,103.21,10654500,94.19,
4/29/2009,101.98,105,101.67,104.04,9783700,94.95,
4/28/2009,99.36,102.73,99.25,101.94,11110500,93.03,
4/27/2009,99.61,101.69,99.29,99.95,8611400,91.22,
4/24/2009,101.17,101.58,99.5,100.08,10157500,91.33,
4/23/2009,102.65,102.78,99.8,101.42,9440400,92.56,
4/22/2009,101.17,103.86,101.06,102.55,12120000,93.59,
4/21/2009,98.41,102.48,98.2,102.31,15226700,93.37,
4/20/2009,100.29,101.19,99.21,100.43,12524700,91.65,
4/17/2009,101.18,102.04,99.69,101.27,10214200,92.42,
4/16/2009,99.74,101.92,99.18,101.43,9259500,92.57,
4/15/2009,98.23,99.06,96.44,98.85,8164200,90.21,
4/14/2009,99.08,99.95,98.27,99.27,6276700,90.6,
4/13/2009,100.28,101.65,99.04,99.95,7797200,91.22,
4/9/2009,102.01,102.45,100.25,101.7,8013700,92.81,
4/8/2009,99.45,101.55,99,101.19,7285200,92.35,
4/7/2009,100.17,100.5,98.52,98.75,8768400,90.12,
4/6/2009,100.9,101.85,100,101.56,8819800,92.68,
4/3/2009,99.73,102.66,99.71,102.22,10962900,93.29,
4/2/2009,99.15,101.99,98.38,100.82,16219000,92.01,
4/1/2009,96.13,98,95.7,97.61,12212900,89.08,
3/31/2009,94.96,98.66,94.85,96.89,14553700,88.42,
3/30/2009,92,94.74,91.8,94.52,10964000,86.26,
3/27/2009,95.99,96,92.75,94.15,15745200,85.92,
3/26/2009,98.47,99.2,97.75,98.78,11434600,90.15,
3/25/2009,98.47,99.86,96.09,97.95,12017000,89.39,
3/24/2009,97.69,99.55,97.52,98.3,9346700,89.71,
3/23/2009,93.7,98.71,93.7,98.71,12407200,90.08,
3/20/2009,93.16,95,92.18,92.51,12193900,84.43,
3/19/2009,92.84,93.35,91.51,92.66,9899300,84.56,
3/18/2009,89.46,92.9,89.41,91.95,17954300,83.91,
3/17/2009,91.11,92.91,90.45,92.91,11489700,84.79,
3/16/2009,91.65,93,90.54,91.22,11793700,83.25,
3/13/2009,90.4,90.65,89.29,90.36,9111900,82.46,
3/12/2009,88.59,90.6,87.49,90.4,11829200,82.5,
3/11/2009,87.51,89.54,86.72,88.62,11823900,80.88,
