Date,S&P 500 Earnings
1925-08,14.25
1925-09,14.63
1925-10,15.00
1925-11,15.00
1925-12,15.45
1926-01,15.45
1926-02,15.45
1926-03,15.54
1926-04,15.45
1926-05,15.54
1926-06,15.63
1926-07,15.68
1926-08,15.77
1926-09,15.68
1926-10,15.59
1926-11,15.50
1926-12,15.50
1927-01,15.55
1927-02,15.52
1927-03,15.48
1927-04,15.35
1927-05,15.14
1927-06,14.84
1927-07,14.84
1927-08,14.80
1927-09,14.58
1927-10,14.37
1927-11,14.33
1927-12,14.20
1928-01,14.46
1928-02,15.01
1928-03,15.27
1928-04,15.53
1928-05,15.70
1928-06,16.18
1928-07,16.44
1928-08,16.70
1928-09,16.76
1928-10,17.24
1928-11,17.50
1928-12,17.86
1929-01,18.12
1929-02,18.38
1929-03,18.75
1929-04,19.12
1929-05,19.27
1929-06,19.41
1929-07,19.32
1929-08,19.57
1929-09,19.83
1929-10,20.08
1929-11,20.34
1929-12,20.72
1930-01,20.19
1930-02,19.53
1930-03,18.99
1930-04,18.23
1930-05,17.55
1930-06,16.99
1930-07,16.53
1930-08,15.83
1930-09,15.07
1930-10,14.49
1930-11,13.76
1930-12,13.33
1931-01,13.08
1931-02,12.83
1931-03,12.48
1931-04,12.14
1931-05,11.86
1931-06,11.58
1931-07,11.14
1931-08,10.70
1931-09,10.33
1931-10,9.95
1931-11,9.64
1931-12,9.25
1932-01,9.13
1932-02,9.10
1932-03,8.85
1932-04,8.60
1932-05,8.56
1932-06,8.30
1932-07,7.97
1932-08,7.87
1932-09,7.60
1932-10,7.32
1932-11,7.21
1932-12,6.93
1933-01,7.03
1933-02,7.32
1933-03,7.38
1933-04,7.38
1933-05,7.38
1933-06,7.49
1933-07,7.26
1933-08,7.21
1933-09,7.21
1933-10,7.38
1933-11,7.38
1933-12,7.38
1934-01,7.38
1934-02,7.49
1934-03,7.49
1934-04,7.65
1934-05,7.65
1934-06,7.76
1934-07,7.76
1934-08,7.76
1934-09,7.81
1934-10,7.87
1934-11,8.03
1934-12,8.09
1935-01,9.28
1935-02,10.50
1935-03,11.79
1935-04,12.19
1935-05,12.51
1935-06,13.08
1935-07,12.76
1935-08,12.60
1935-09,12.28
1935-10,12.28
1935-11,12.19
1935-12,12.19
1936-01,12.35
1936-02,12.51
1936-03,12.76
1936-04,13.25
1936-05,13.73
1936-06,14.11
1936-07,14.33
1936-08,14.54
1936-09,14.86
1936-10,15.33
1936-11,15.65
1936-12,16.12
1937-01,16.48
1937-02,16.95
1937-03,17.30
1937-04,17.49
1937-05,17.67
1937-06,17.98
1937-07,18.16
1937-08,18.32
1937-09,18.49
1937-10,18.04
1937-11,17.70
1937-12,17.37
1938-01,16.83
1938-02,16.01
1938-03,15.22
1938-04,14.03
1938-05,13.18
1938-06,12.09
1938-07,11.30
1938-08,10.52
1938-09,9.73
1938-10,9.96
1938-11,9.96
1938-12,10.12
1939-01,10.43
1939-02,10.99
1939-03,11.30
1939-04,11.71
1939-05,11.87
1939-06,12.19
1939-07,12.51
1939-08,12.67
1939-09,12.71
1939-10,13.28
1939-11,13.75
1939-12,14.23
1940-01,14.81
1940-02,15.18
1940-03,15.65
1940-04,15.97
1940-05,16.12
1940-06,16.32
1940-07,16.60
1940-08,16.91
1940-09,17.07
1940-10,16.91
1940-11,16.76
1940-12,16.48
1941-01,16.48
1941-02,16.64
1941-03,16.52
1941-04,16.56
1941-05,16.60
1941-06,16.41
1941-07,16.86
1941-08,17.23
1941-09,17.44
1941-10,17.07
1941-11,16.81
1941-12,16.56
1942-01,15.79
1942-02,15.13
1942-03,14.39
1942-04,14.02
1942-05,13.58
1942-06,13.31
1942-07,13.09
1942-08,12.74
1942-09,12.61
1942-10,12.85
1942-11,13.17
1942-12,13.49
1943-01,13.62
1943-02,13.88
1943-03,13.77
1943-04,13.74
1943-05,13.78
1943-06,13.91
1943-07,13.86
1943-08,13.94
1943-09,13.74
1943-10,13.10
1943-11,12.59
1943-12,11.96
1944-01,11.96
1944-02,11.83
1944-03,11.83
1944-04,11.76
1944-05,11.63
1944-06,11.57
1944-07,11.38
1944-08,11.38
1944-09,11.25
1944-10,11.38
1944-11,11.50
1944-12,11.56
1945-01,11.69
1945-02,11.81
1945-03,11.94
1945-04,12.06
1945-05,12.24
1945-06,12.23
1945-07,12.23
1945-08,12.10
1945-09,12.10
1945-10,11.98
1945-11,11.86
1945-12,11.67
1946-01,11.43
1946-02,11.25
1946-03,10.88
1946-04,10.58
1946-05,10.29
1946-06,9.94
1946-07,9.61
1946-08,9.53
1946-09,9.66
1946-10,10.11
1946-11,10.39
1946-12,10.91
1947-01,11.63
1947-02,12.35
1947-03,12.83
1947-04,13.44
1947-05,13.95
1947-06,14.49
1947-07,14.75
1947-08,14.85
1947-09,14.91
1947-10,15.11
1947-11,15.23
1947-12,15.23
1948-01,15.31
1948-02,15.82
1948-03,16.17
1948-04,16.37
1948-05,16.76
1948-06,17.08
1948-07,17.51
1948-08,18.07
1948-09,18.70
1948-10,19.41
1948-11,20.30
1948-12,21.03
1949-01,21.39
1949-02,21.85
1949-03,22.13
1949-04,22.13
1949-05,22.22
1949-06,22.22
1949-07,22.41
1949-08,22.22
1949-09,22.13
1949-10,22.13
1949-11,21.76
1949-12,21.76
1950-01,22.04
1950-02,22.13
1950-03,22.22
1950-04,22.79
1950-05,23.16
1950-06,23.62
1950-07,23.88
1950-08,24.23
1950-09,24.67
1950-10,24.83
1950-11,25.09
1950-12,25.14
1951-01,24.74
1951-02,24.37
1951-03,24.28
1951-04,23.93
1951-05,23.58
1951-06,23.24
1951-07,22.64
1951-08,22.05
1951-09,21.28
1951-10,21.03
1951-11,20.62
1951-12,20.38
1952-01,20.29
1952-02,20.28
1952-03,20.20
1952-04,19.95
1952-05,19.78
1952-06,19.54
1952-07,19.48
1952-08,19.48
1952-09,19.56
1952-10,19.64
1952-11,19.81
1952-12,19.89
1953-01,20.05
1953-02,20.21
